Armchair Antarctica Point Data (WGS84),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Latitude,Longitude,Parent ID,Type,Label,URL,Logo/Profile URL,Our Icon,Established or Event Date,Associated Text,Source,Source Main Site,Licensing,Notes,Jurisdiction
-90,0,4,Station,Amundsen–Scott South Pole Station,http://en.wikipedia.org/wiki/Amundsen%E2%80%93Scott_South_Pole_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,station.gif,1957,,,,,, United States
-89.99,-0.01,84,Station,Norweigan South Pole Expedition 1910-12 (Amundsen),http://en.wikipedia.org/wiki/Amundsen%27s_South_Pole_expedition,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,expedition.gif,1910,,,,,,
-89.980833,46.233333,79,Station,Polheim - Amundsens's South Pole Camp 1911,http://en.wikipedia.org/wiki/Polheim,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,expedition.gif,1911,,,,,,
-88.383333,162,81,Station,Farthest South: Nimrod Expedition 1907-09 (Shackleton),http://en.wikipedia.org/wiki/Nimrod_Expedition,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,expedition.gif,1907,,,,,,
-85.433333,-146.5,91,Station,"Commander Byrd's Discoveries - The West Australian - 7th February, 1929",http://en.wikipedia.org/wiki/Richard_E._Byrd,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,star.gif,,,,,,,
-85.2,-87.883333,73,Station,Thiel Mountains Runway Webcam,http://en.wikipedia.org/wiki/Thiel_Mountains,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,plane.gif,,,,,,,
-81.5,-175,93,Station,"Byrd's Solitary Vigil - The West Australian - 25th February, 1939",http://en.wikipedia.org/wiki/Richard_E._Byrd,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,star.gif,,,,,,,
-80.416944,77.116111,31,Station,Kunlun Station,http://en.wikipedia.org/wiki/Kunlun_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/125px-Flag_of_the_People%27s_Republic_of_China.svg.png,station.gif,2009,,,,,, China
-80.016667,-119.533333,11,Station,Byrd Station,http://en.wikipedia.org/wiki/Byrd_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,station.gif,1957,,,,,, United States
-79.783333,-82.883333,72,Station,Union Glacier Runway Webcam,http://en.wikipedia.org/wiki/Union_Glacier_Camp,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,plane.gif,,,,,,,
